,x-acc,y-acc,z-acc,x-gyro,y-gyro,z-gyro,x-mag,y-mag,z-mag
0,-0.8376756,-0.9986846,0.9286807,-0.3883229,-0.5122955,0.28734654,0.74333966,-1.1406375,-0.86409265
1,-0.8376756,-0.9986846,0.9286807,-0.39369974,-0.5168878,0.28077105,0.7357667,-1.1406375,-0.8671549
2,-0.5929789,-1.3179765,1.1102115,-0.12742653,-0.29620957,0.04239752,0.7357667,-1.1406375,-0.8671549
3,-0.5929789,-1.3179765,1.1102115,-0.09236791,-0.2474239,-0.02917453,0.7357667,-1.1406375,-0.8671549
4,-0.5929789,-1.3179765,1.1102115,-0.091590345,-0.24585514,-0.032177787,0.7357667,-1.1370976,-0.8671549
5,-0.4910856,-1.2883399,0.9132501,-0.23547985,-0.2088109,-0.1571318,0.7357667,-1.1370976,-0.8671549
6,-0.4910856,-1.2883399,0.9132501,-0.30346894,0.06413409,-0.27308598,0.7357667,-1.1370976,-0.8671549
7,-0.4910856,-1.2883399,0.9132501,-0.30716744,0.10142707,-0.28538996,0.7281939,-1.1370976,-0.8702173
8,-0.8221172,-1.4494064,0.9687524,-0.1561359,-0.17627072,-0.1555947,0.7281939,-1.1370976,-0.8702173
9,-0.8221172,-1.4494064,0.9687524,-0.2792422,-0.16303687,-0.008550597,0.7281939,-1.1370976,-0.8702173
10,-0.8221172,-1.4494064,0.9687524,-0.29239362,-0.15920788,0.005714875,0.7281939,-1.1335578,-0.8732796
11,-0.6575738,-1.3391874,1.2016709,-0.28499785,0.15518914,0.31556934,0.7281939,-1.1335578,-0.8732796
12,-0.6575738,-1.3391874,1.2016709,-0.19250633,0.2453023,0.33143446,0.7281939,-1.1335578,-0.8732796
13,-0.6575738,-1.3391874,1.2016709,-0.18385132,0.25150013,0.32980862,0.7357667,-1.1335578,-0.8794043
14,-0.5678355,-1.1544116,1.1690153,-0.1729043,0.30452824,0.2762445,0.7357667,-1.1335578,-0.8794043
15,-0.5678355,-1.1544116,1.1690153,-0.002401867,0.4214938,0.33955243,0.7357667,-1.1335578,-0.8794043
16,-0.5678355,-1.1544116,1.1690153,0.015142934,0.433806,0.34630305,0.7357667,-1.1300179,-0.88246655
17,-0.743492,-1.2464076,1.007915,0.2430818,0.53476244,0.46845117,0.7357667,-1.1300179,-0.88246655
18,-0.743492,-1.2464076,1.007915,0.15793636,0.47421828,0.32954115,0.7357667,-1.1300179,-0.88246655
19,-0.743492,-1.2464076,1.007915,0.14780577,0.46742514,0.31375995,0.74333966,-1.1264781,-0.885529
20,-0.5765176,-1.2113825,0.7460015,-0.18703866,0.49742985,-0.054085482,0.74333966,-1.1264781,-0.885529
21,-0.5765176,-1.2113825,0.7460015,-0.35543358,0.5552277,-0.26937845,0.74333966,-1.1264781,-0.885529
22,-0.5765176,-1.2113825,0.7460015,-0.3623431,0.5585781,-0.2800404,0.74333966,-1.1229382,-0.89165354
23,-1.1785702,-1.3278226,1.0464556,-0.31297645,0.28770712,-0.12820226,0.74333966,-1.1229382,-0.89165354
24,-1.1785702,-1.3278226,1.0464556,-0.36979032,0.09401007,-0.030439185,0.74333966,-1.1229382,-0.89165354
25,-1.1785702,-1.3278226,1.0464556,-0.37530786,0.07577949,-0.021478685,0.7509126,-1.1193982,-0.8947159
26,-0.72543323,-1.2016833,1.0788001,-0.37410188,0.2235997,-0.026493892,0.7509126,-1.1193982,-0.8947159
27,-0.72543323,-1.2016833,1.0788001,-0.3043031,0.32610342,0.033521403,0.7509126,-1.1193982,-0.8947159
28,-0.72543323,-1.2016833,1.0788001,-0.2960117,0.3319088,0.041378558,0.75848556,-1.1158583,-0.90084064
29,-0.8551093,-1.245134,0.9858815,-0.2779012,0.29701883,0.10640535,0.75848556,-1.1158583,-0.90084064
30,-0.8551093,-1.245134,0.9858815,-0.32293624,0.15788643,0.08011824,0.75848556,-1.1158583,-0.90084064
31,-0.8551093,-1.245134,0.9858815,-0.32736838,0.14371094,0.07659645,0.7660584,-1.1123184,-0.9039029
32,-0.8797665,-1.323218,1.1258335,-0.27102974,-0.050725512,0.071883745,0.7660584,-1.1123184,-0.9039029
33,-0.8797665,-1.323218,1.1258335,-0.18496688,-0.07238733,0.18479116,0.7660584,-1.1123184,-0.9039029
34,-0.8797665,-1.323218,1.1258335,-0.17631364,-0.07429357,0.19651559,0.7736313,-1.1052387,-0.9069652
35,-0.93588763,-1.4923183,1.2096851,0.055484492,0.0032961648,0.21978614,0.7736313,-1.1052387,-0.9069652
36,-0.93588763,-1.4923183,1.2096851,0.3090447,-0.0705196,0.22311476,0.7736313,-1.1052387,-0.9069652
37,-0.93588763,-1.4923183,1.2096851,0.33564425,-0.080878764,0.22370915,0.7812042,-1.1016988,-0.9130899
38,-1.285256,-1.3601534,1.9286317,1.4351125,-0.77379686,0.06727188,0.7812042,-1.1016988,-0.9130899
