,x-acc,y-acc,z-acc,x-mag,y-mag,z-mag
0,-1.3092583,0.7191776,-0.6634639,2.0069122,-0.83368707,0.11856348
1,-1.3469199,0.8192117,-0.6732537,2.0069122,-0.83368707,0.11856348
2,-1.3695167,0.8792322,-0.6791276,2.0055351,-0.83259875,0.11327913
3,-1.3695167,0.8792322,-0.6791276,2.0027812,-0.830422,0.10271043
4,-1.321562,0.85599154,-0.70646137,2.0027812,-0.830422,0.10271043
5,-1.2736074,0.8327509,-0.73379517,2.0027812,-0.830422,0.10271043
6,-1.2712097,0.83158886,-0.73516184,2.0027812,-0.830422,0.10271043
7,-1.2960354,0.7727655,-0.751295,2.0027812,-0.830422,0.10271043
8,-1.3252424,0.7035617,-0.7702752,2.0027812,-0.830422,0.10271043
9,-1.3427664,0.6620394,-0.7816633,2.0049844,-0.82998663,0.09425544
10,-1.3427664,0.6620394,-0.7816633,2.010492,-0.8288984,0.07311804
11,-1.2940487,0.59785724,-0.7748994,2.011043,-0.8287895,0.07100433
12,-1.2128522,0.49088693,-0.7636264,2.011043,-0.8287895,0.07100433
13,-1.2087924,0.48553845,-0.7630627,2.0027812,-0.830422,0.060435634
14,-1.232799,0.51683986,-0.67712444,2.0027812,-0.830422,0.060435634
15,-1.2568057,0.5481413,-0.5911861,2.0027812,-0.830422,0.060435634
16,-1.2712097,0.5669222,-0.53962314,2.0027812,-0.830422,0.060435634
17,-1.2611979,0.58219945,-0.487411,2.0027812,-0.830422,0.060435634
18,-1.2486832,0.60129607,-0.42214575,2.0027812,-0.830422,0.060435634
19,-1.2361685,0.6203927,-0.35688052,2.0027812,-0.830422,0.060435634
20,-1.3016818,0.65527254,-0.32536346,2.0027812,-0.8238919,0.065719984
21,-1.5662384,0.7909727,-0.21234828,2.0027812,-0.8238919,0.065719984
22,-1.8307948,0.92667276,-0.09933309,2.0027812,-0.8238919,0.065719984
23,-1.976301,1.0013078,-0.03717472,1.9986502,-0.82062685,0.09742608
24,-1.7734158,0.95055693,-0.3502478,1.9986502,-0.82062685,0.09742608
25,-1.5598526,0.89713496,-0.6797984,1.9986502,-0.82062685,0.09742608
26,-1.3462893,0.84371305,-1.009349,1.9986502,-0.82062685,0.09742608
27,-1.3249329,0.8383708,-1.042304,1.992422,-0.82097846,0.119051225
28,-1.3249329,0.8383708,-1.042304,1.9835244,-0.82148075,0.14994438
29,-1.3249329,0.8383708,-1.042304,1.9746271,-0.82198316,0.18083754
30,-0.51284075,0.7569871,-0.94906867,1.9691637,-0.82237196,0.20037977
31,-0.51284075,0.7569871,-0.94906867,1.9634659,-0.8234978,0.22589046
32,-0.51284075,0.7569871,-0.94906867,1.957768,-0.82462376,0.25140107
33,-0.51284075,0.7569871,-0.94906867,1.9532096,-0.8255244,0.2718096
34,-0.4058398,1.1030375,-0.660527,1.9532096,-0.8255244,0.2718096
35,-0.4058398,1.1030375,-0.660527,1.9532096,-0.8255244,0.2718096
36,-0.4058398,1.1030375,-0.660527,1.9532096,-0.8255244,0.2718096
37,-0.14703143,0.7976789,0.6050106,1.9554887,-0.8196699,0.27472514
38,-0.14703143,0.7976789,0.6050106,1.9611866,-0.80503345,0.28201386
39,-0.14703143,0.7976789,0.6050106,1.9668846,-0.790397,0.28930256
40,-0.5599403,-0.18532029,-0.2246421,1.9697335,-0.78307873,0.29294702
41,-0.6287584,-0.34915346,-0.36291757,1.9767413,-0.7382134,0.30011865
42,-0.6287584,-0.34915346,-0.36291757,1.984118,-0.69098675,0.30766764
43,-0.6287584,-0.34915346,-0.36291757,1.9903883,-0.65084404,0.3140844
44,-1.0928748,-0.45783463,0.6143109,1.9903883,-0.65084404,0.3140844
45,-1.0928748,-0.45783463,0.6143109,1.9903883,-0.65084404,0.3140844
46,-1.0928748,-0.45783463,0.6143109,1.9903883,-0.65084404,0.3140844
47,-0.31108883,-1.062787,-0.28613478,1.9903883,-0.65084404,0.3140844
48,-0.066780716,-1.2518346,-0.567524,1.9793723,-0.59152895,0.3140844
49,-0.066780716,-1.2518346,-0.567524,1.9646845,-0.5124421,0.3140844
50,-0.13601664,-1.0817666,-0.47881564,1.9573406,-0.47289866,0.3140844
51,-0.26294905,-0.7699752,-0.3161836,1.9403677,-0.4345698,0.3213217
52,-0.26294905,-0.7699752,-0.3161836,1.9026502,-0.34939447,0.33740455
53,-0.26294905,-0.7699752,-0.3161836,1.8705904,-0.27699548,0.35107484
54,-0.053193323,-1.2366236,-0.4173686,1.8705904,-0.27699548,0.35107484
55,-0.031113748,-1.2857447,-0.4280196,1.8705904,-0.27699548,0.35107484
56,-0.031113748,-1.2857447,-0.4280196,1.8705904,-0.27699548,0.35107484
57,-0.31129763,-1.5592341,0.018670095,1.8705904,-0.27699548,0.35107484
58,-0.503924,-1.7472581,0.32576928,1.8454949,-0.23475385,0.36890954
59,-0.503924,-1.7472581,0.32576928,1.7897269,-0.14088356,0.40854216
60,-0.27447712,-1.4963856,0.20781331,1.7590545,-0.089254916,0.4303401
61,0.64331037,-0.49289507,-0.26401058,1.7590545,-0.089254916,0.4303401
62,0.7809785,-0.3423715,-0.33478418,1.7322034,0.00053405366,0.45411968
63,0.7809785,-0.3423715,-0.33478418,1.7053521,0.09032302,0.47789925
64,-0.50179887,-0.7206758,-0.1934197,1.7053521,0.09032302,0.47789925
65,-1.2444593,-0.9396942,-0.1115771,1.7053521,0.09032302,0.47789925
66,-1.2444593,-0.9396942,-0.1115771,1.7053521,0.09032302,0.47789925
67,-0.414865,-1.021811,-0.28059107,1.7053521,0.09032302,0.47789925
68,0.62212795,-1.1244571,-0.4918586,1.7053521,0.09032302,0.47789925
69,0.6739776,-1.1295896,-0.502422,1.6530265,0.20612356,0.48793948
70,0.5893195,-1.1086622,-0.44072112,1.6227329,0.273166,0.4937523
71,0.16602902,-1.004026,-0.13221711,1.6227329,0.273166,0.4937523
72,-0.066780716,-0.94647616,0.03746014,1.5769746,0.34097862,0.5138734
73,-0.066780716,-0.94647616,0.03746014,1.4905422,0.46906924,0.5518801
74,0.35087618,-0.996762,-0.0833246,1.4905422,0.46906924,0.5518801
75,0.79051507,-1.0496945,-0.21046643,1.4905422,0.46906924,0.5518801
76,0.834479,-1.0549878,-0.22318062,1.4905422,0.46906924,0.5518801
77,0.80317545,-0.985671,-0.26184118,1.4905422,0.46906924,0.5518801
78,0.76143754,-0.8932484,-0.31338856,1.4905422,0.46906924,0.5518801
79,0.7363948,-0.8377949,-0.344317,1.4013135,0.5337173,0.59626865
80,0.7455142,-0.86648726,-0.3589015,1.2674704,0.6306894,0.66285145
81,0.8063102,-1.0577699,-0.45613188,1.2674704,0.6306894,0.66285145
82,0.86710614,-1.2490525,-0.55336225,1.2674704,0.6306894,0.66285145
83,0.8701459,-1.2586167,-0.5582237,1.003089,0.7123157,0.7421167
84,0.83745116,-1.1455271,-0.35656238,1.003089,0.7123157,0.7421167
85,0.7965828,-1.0041653,-0.10448561,1.003089,0.7123157,0.7421167
86,0.77206177,-0.9193482,0.046760436,1.003089,0.7123157,0.7421167
87,1.1559072,-0.99312687,0.14573671,1.003089,0.7123157,0.7421167
88,1.7464387,-1.1066325,0.29800788,1.003089,0.7123157,0.7421167
89,2.33697,-1.2201382,0.4502791,1.003089,0.7123157,0.7421167
90,2.3687625,-1.2307489,0.44621655,0.6395645,0.7531289,0.77910715
91,2.187023,-1.2258165,0.31761885,0.6395645,0.7531289,0.77910715
92,2.0052836,-1.2208842,0.18902111,0.6395645,0.7531289,0.77910715
93,1.8762692,-1.2103839,0.10255482,0.35039735,0.77108663,0.83195066
94,1.4768559,-1.0595655,-0.08359871,0.35039735,0.77108663,0.83195066
95,1.0774424,-0.9087474,-0.2697522,0.35039735,0.77108663,0.83195066
96,0.67802906,-0.75792915,-0.45590574,0.35039735,0.77108663,0.83195066
97,0.63808775,-0.7428472,-0.47452107,0.28900492,0.7777674,0.82967436
98,0.63808775,-0.7428472,-0.47452107,0.20130146,0.7873115,0.82642245
99,0.63808775,-0.7428472,-0.47452107,0.11359798,0.79685545,0.82317054
100,1.209205,-0.8038851,0.93075347,0.059520837,0.8026394,0.8211997
101,1.209205,-0.8038851,0.93075347,-0.057285674,0.81333536,0.8175553
102,1.209205,-0.8038851,0.93075347,-0.17409205,0.8240312,0.813911
103,1.209205,-0.8038851,0.93075347,-0.27337754,0.8331227,0.81081325
104,1.592848,-0.824231,0.6050106,-0.27337754,0.8331227,0.81081325
105,1.592848,-0.824231,0.6050106,-0.27337754,0.8331227,0.81081325
106,1.592848,-0.824231,0.6050106,-0.27337754,0.8331227,0.81081325
107,1.2270385,-0.9396942,0.35390267,-0.3148937,0.8382652,0.80367935
108,1.2270385,-0.9396942,0.35390267,-0.4071518,0.8496929,0.7878263
109,1.2270385,-0.9396942,0.35390267,-0.49940985,0.8611205,0.77197325
110,1.4269519,-1.0590569,0.2941948,-0.5501518,0.8674057,0.7632541
111,1.4769301,-1.0888976,0.27926782,-0.6231321,0.87774503,0.7403552
112,1.4769301,-1.0888976,0.27926782,-0.69995344,0.8886286,0.7162512
113,1.4769301,-1.0888976,0.27926782,-0.7690927,0.89842373,0.69455755
114,1.1913716,-0.72250134,0.5492088,-0.7690927,0.89842373,0.69455755
115,1.1913716,-0.72250134,0.5492088,-0.7690927,0.89842373,0.69455755
116,1.1913716,-0.72250134,0.5492088,-0.7690927,0.89842373,0.69455755
117,1.2916849,-0.99729866,0.5143327,-0.7690927,0.89842373,0.69455755
118,1.3251227,-1.0888976,0.5027074,-0.82162774,0.9032148,0.6669871
119,1.3251227,-1.0888976,0.5027074,-0.89167446,0.909603,0.6302263
120,1.3028308,-1.0677041,0.46492493,-0.9302001,0.91311646,0.610008
121,1.2537887,-1.0210779,0.38180354,-0.95076704,0.9143669,0.6019128
122,1.2537887,-1.0210779,0.38180354,-0.9964713,0.91714567,0.5839236
123,1.2537887,-1.0210779,0.38180354,-1.037605,0.91964656,0.56773317
124,0.84670424,-1.0878268,0.048742868,-1.037605,0.91964656,0.56773317
125,0.798812,-1.0956795,0.009559256,-1.037605,0.91964656,0.56773317
126,0.798812,-1.0956795,0.009559256,-1.037605,0.91964656,0.56773317
127,0.8495452,-1.0711242,0.28387785,-1.037605,0.91964656,0.56773317
128,0.8968961,-1.0482059,0.5399086,-1.0356483,0.92041993,0.5618926
129,0.8968961,-1.0482059,0.5399086,-1.0291257,0.92299753,0.542424
130,0.94580615,-1.0371537,0.52199686,-1.0252122,0.92454416,0.53074276
131,1.190356,-0.9818931,0.4324385,-1.0252122,0.92454416,0.53074276
132,1.2270385,-0.973604,0.41900474,-1.0124438,0.93127215,0.50624263
133,1.2270385,-0.973604,0.41900474,-1.0004264,0.93760437,0.4831836
134,1.3134733,-0.96485305,0.40700433,-1.0004264,0.93760437,0.4831836
135,1.3610126,-0.9600401,0.40040413,-1.0004264,0.93760437,0.4831836
136,1.3610126,-0.9600401,0.40040413,-1.0004264,0.93760437,0.4831836
137,1.3346378,-0.9657512,0.49047014,-1.0004264,0.93760437,0.4831836
138,1.3016692,-0.97289014,0.6030527,-1.0004264,0.93760437,0.4831836
139,1.2983724,-0.973604,0.6143109,-0.9818371,0.9386539,0.45600697
140,1.3265657,-0.9725331,0.6187163,-0.9715097,0.9392369,0.4409088
141,1.4205436,-0.9689638,0.633401,-0.9715097,0.9392369,0.4409088
142,1.4769301,-0.966822,0.6422118,-0.95961255,0.9423713,0.4290719
143,1.4769301,-0.966822,0.6422118,-0.93433106,0.94903207,0.40391836
144,1.3376334,-0.9932883,0.65128523,-0.93433106,0.94903207,0.40391836
145,1.1983364,-1.0197546,0.6603587,-0.93433106,0.94903207,0.40391836
146,1.1913716,-1.0210779,0.6608124,-0.93433106,0.94903207,0.40391836
147,1.2270385,-1.0097746,0.6422118,-0.93433106,0.94903207,0.40391836
148,1.2716222,-0.99564546,0.6189611,-0.93433106,0.94903207,0.40391836
149,1.2983724,-0.9871679,0.6050106,-0.9314574,0.9524391,0.38737604
150,1.2983724,-0.9871679,0.6050106,-0.92606914,0.9588272,0.3563592
151,1.3493037,-0.98394656,0.51665777,-0.92606914,0.9588272,0.3563592
152,1.4029156,-0.9805556,0.42365488,-0.92606914,0.9588272,0.3563592
153,1.4055963,-0.98038596,0.41900474,-0.9302001,0.9571947,0.32465312
154,1.3235623,-1.0080912,0.49815616,-0.9302001,0.9571947,0.32465312
155,1.2210197,-1.0427226,0.5970955,-0.9302001,0.9571947,0.32465312
156,1.1646212,-1.0617697,0.65151215,-0.9302001,0.9571947,0.32465312
157,1.211041,-1.0537548,0.6273313,-0.9302001,0.9571947,0.32465312
158,1.282456,-1.0414238,0.59013015,-0.9302001,0.9571947,0.32465312
