,x-acc,y-acc,z-acc,x-mag,y-mag,z-mag,lat,lon,speed
0,-7.402644,3.7685108,-0.78597075,3.0428944,1.0566171,0.5834742,0.01234111,0.0,
1,-2.3152218,2.1835568,0.13943663,3.2146456,1.0946718,0.46421883,0.01234111,0.0,
2,-2.3152218,2.1835568,0.13943663,3.4600048,1.1490339,0.29384127,0.01234111,0.0,
3,-2.3152218,2.1835568,0.13943663,3.7053642,1.203396,0.12347853,0.01234111,0.0,
4,2.0052323,-2.1800203,0.6021375,3.742168,1.2115496,0.09791745,0.01234111,0.0,
5,2.0052323,-2.1800203,0.6021375,3.742168,1.2115496,0.09791745,0.01234111,0.0,
6,2.0052323,-2.1800203,0.6021375,3.742168,1.2115496,0.09791745,0.01234111,0.0,
7,-2.8002462,2.2125125,2.043633,3.742168,1.2115496,0.09791745,0.01234111,0.0,
8,-4.936015,4.1647496,2.684297,3.8477185,1.0712343,0.4643818,0.01234111,0.0,
9,-4.936015,4.1647496,2.684297,3.979657,0.8958383,0.9224512,0.01234111,0.0,
10,-4.936015,4.1647496,2.684297,4.0918045,0.7467522,1.3118094,0.01234111,0.0,
11,-9.564797,4.5609875,9.399265,4.127482,0.7467522,1.2870337,0.01234111,0.0,
12,-9.564797,4.5609875,9.399265,4.2701907,0.7467522,1.1879456,0.01234111,0.0,
13,-9.564797,4.5609875,9.399265,4.4128995,0.7467522,1.0888427,0.01234111,0.0,
14,-5.7650533,-1.8236665,5.596582,4.4414415,0.7467522,1.069031,0.01234111,0.0,
15,-3.548536,-5.5480475,3.3783484,4.4414415,0.7467522,1.069031,0.01234111,0.0,
16,-3.548536,-5.5480475,3.3783484,4.4414415,0.7467522,1.069031,0.01234111,0.0,
17,-3.1195574,-3.4118054,2.0103636,4.4414415,0.7467522,1.069031,0.01234111,0.0,
18,-2.3152218,0.59364927,-0.5546203,4.461769,0.76476645,1.1254877,0.01234111,0.0,
19,-2.3152218,0.59364927,-0.5546203,4.54308,0.8368285,1.3513291,0.01234111,0.0,
20,-2.3152218,0.59364927,-0.5546203,4.6162596,0.9016847,1.5545877,0.01234111,0.0,
21,-1.6813968,-1.189424,0.39181584,4.6162596,0.9016847,1.5545877,0.01234111,0.0,
22,-1.5405462,-1.5856625,0.6021375,4.5113688,0.6537917,1.1661483,0.01234111,0.0,
23,-1.5405462,-1.5856625,0.6021375,4.3802547,0.3439267,0.6805915,0.01234111,0.0,
24,-1.4035115,-0.26486745,0.8077811,4.354032,0.28195465,0.5834742,0.01234111,0.0,
25,-1.2322176,1.3861264,1.0648384,4.354032,0.28195465,0.5834742,0.01234111,0.0,
26,-1.2322176,1.3861264,1.0648384,4.354032,0.28195465,0.5834742,0.01234111,0.0,
27,-0.8949837,2.2106433,0.60936826,4.354032,0.28195465,0.5834742,0.01234111,0.0,
28,0.06854307,4.566405,-0.69198215,4.354032,0.28195465,0.5834742,0.01234111,0.0,
29,0.30942547,5.1553454,-1.0173211,3.9169862,-0.14058962,0.5834742,0.01234111,0.0,
30,0.30942547,5.1553454,-1.0173211,3.3925312,-0.6476404,0.5834742,0.01234111,0.0,
31,-0.25854832,3.766686,-0.5059111,3.3925312,-0.6476404,0.5834742,0.01234111,0.0,
32,-1.0699393,1.7828865,0.2246707,3.3925312,-0.6476404,0.5834742,0.01234111,0.0,
33,-1.2322176,1.3861264,0.37078705,3.0928426,-0.8247054,0.5834742,0.01234111,0.0,
34,-1.2322176,1.3861264,0.37078705,2.8680758,-0.9575054,0.5834742,0.01234111,0.0,
35,-0.48341992,-0.5384608,-1.8813064,2.8680758,-0.9575054,0.5834742,0.01234111,0.0,
36,-0.30723175,-0.99130476,-2.4112096,2.8680758,-0.9575054,0.5834742,0.01234111,0.0,
