,x-acc,y-acc,z-acc,x-gyro,y-gyro,z-gyro,x-mag,y-mag,z-mag
0,-0.27971864,1.1074551,0.918974,-1.0990171,0.4706926,-0.025125729,0.5880381,-1.3472766,-0.3564473
1,-0.48780435,0.8521599,0.8493398,-1.1570004,0.53333575,-0.011815134,0.6280153,-1.3236934,-0.40977445
2,-0.48780435,0.8521599,0.8493398,-1.1663575,0.762545,-0.028492944,0.6280153,-1.3236934,-0.40977445
3,-0.48780435,0.8521599,0.8493398,-1.1644816,0.83631474,-0.026852505,0.6280153,-1.3236934,-0.40977445
4,-0.6797874,0.61572546,0.9193763,-1.1503364,0.67122936,0.031038893,0.6724344,-1.2579978,-0.53420454
5,-0.6797874,0.61572546,0.9193763,-1.2394259,0.59944403,0.0074775214,0.6724344,-1.2579978,-0.53420454
6,-0.6797874,0.61572546,0.9193763,-1.2659324,0.5970915,-0.0041165724,0.6724344,-1.2579978,-0.53420454
7,-0.4101435,0.40524745,1.051312,-1.157637,0.6722268,-0.0013170961,0.7523887,-1.2007247,-0.65863454
8,-0.4101435,0.40524745,1.051312,-1.0746561,0.30997908,0.0562056,0.7523887,-1.2007247,-0.65863454
9,-0.4101435,0.40524745,1.051312,-1.06788,0.18807535,0.07675429,0.7523887,-1.2007247,-0.65863454
10,-0.2561886,0.45178485,1.0560298,-1.0626479,0.28272617,0.16242175,0.8190174,-1.101339,-0.7741768
11,-0.2561886,0.45178485,1.0560298,-0.9627156,0.6482742,0.119895,0.8190174,-1.101339,-0.7741768
12,-0.2561886,0.45178485,1.0560298,-0.93771666,0.6923358,0.10668514,0.8190174,-1.101339,-0.7741768
13,-0.5542942,0.5008104,0.94514173,-0.94352293,0.5088571,0.14093295,0.90785563,-1.0440658,-0.8926816
14,-0.5542942,0.5008104,0.94514173,-0.8889309,0.5878119,0.09514449,0.90785563,-1.0440658,-0.8926816
15,-0.5542942,0.5008104,0.94514173,-0.8637021,0.6298039,0.06984716,0.90785563,-1.0440658,-0.8926816
16,-0.73932546,0.35517755,1.0634724,-0.8240151,0.85647625,-0.061042745,0.9878101,-0.9766857,-0.95193404
17,-0.73932546,0.35517755,1.0634724,-0.76993346,0.98970693,0.018792037,0.9878101,-0.9766857,-0.95193404
18,-0.73932546,0.35517755,1.0634724,-0.75217,1.0076654,0.05574513,0.9878101,-0.9766857,-0.95193404
19,-0.46587867,0.40607682,0.9373883,-0.67606586,0.8676363,0.19644171,1.0633225,-0.93794215,-1.0111865
20,-0.46587867,0.40607682,0.9373883,-0.57517326,0.6910005,0.17226167,1.0633225,-0.93794215,-1.0111865
21,-0.46587867,0.40607682,0.9373883,-0.5470988,0.6883302,0.15071802,1.0633225,-0.93794215,-1.0111865
22,-0.52000946,0.18773513,0.8676261,-0.38777053,0.55962497,-0.0094015645,1.1255094,-0.897514,-1.0408126
23,-0.52000946,0.18773513,0.8676261,-0.28642756,0.30368137,-0.08769272,1.1255094,-0.897514,-1.0408126
24,-0.52000946,0.18773513,0.8676261,-0.2672476,0.255948,-0.10772336,1.1255094,-0.897514,-1.0408126
25,-0.45506445,0.59858495,1.1149483,-0.3398158,0.52788365,-0.29661387,1.1699284,-0.87729996,-1.0497006
26,-0.45506445,0.59858495,1.1149483,-0.38704893,0.91860753,-0.5066383,1.1699284,-0.87729996,-1.0497006
