,Temperature,Humidity,Light,CO2
1,23.18,27.272,426.0,721.25
2,23.15,27.2675,429.5,714.0
3,23.15,27.245,426.0,713.5
4,23.15,27.2,426.0,708.25
5,23.1,27.2,426.0,704.5
6,23.1,27.2,419.0,701.0
7,23.1,27.2,419.0,701.666666666667
8,23.1,27.2,419.0,699.0
9,23.1,27.2,419.0,689.333333333333
10,23.075,27.175,419.0,688.0
11,23.075,27.15,419.0,690.25
12,23.1,27.1,419.0,691.0
13,23.1,27.1666666666667,419.0,683.5
14,23.05,27.15,419.0,687.5
15,23.0,27.125,419.0,686.0
16,23.0,27.125,418.5,680.5
17,23.0,27.2,0.0,681.5
18,22.945,27.29,0.0,685.0
19,22.945,27.39,0.0,685.0
20,22.89,27.39,0.0,689.0
21,22.89,27.39,0.0,689.5
22,22.89,27.39,0.0,689.0
23,22.89,27.445,0.0,691.0
24,22.89,27.5,0.0,688.0
25,22.89,27.5,0.0,689.5
26,22.79,27.445,0.0,689.0
27,22.79,27.5,0.0,685.666666666667
28,22.79,27.5,0.0,687.0
29,22.79,27.5,0.0,688.0
30,22.745,27.5,0.0,670.0
31,22.7,27.4633333333333,0.0,668.666666666667
32,22.7,27.5,0.0,670.0
33,22.7,27.5,0.0,667.0
34,22.6666666666667,27.4266666666667,0.0,664.5
35,22.7,27.6,0.0,670.0
36,22.6,27.4266666666667,0.0,670.333333333333
37,22.6,27.39,0.0,672.0
38,22.6,27.3566666666667,0.0,658.0
39,22.6,27.445,0.0,660.5
40,22.6,27.4266666666667,0.0,658.0
41,22.6,27.445,0.0,655.0
42,22.6,27.445,0.0,654.25
43,22.6,27.39,0.0,648.0
44,22.5,27.3233333333333,0.0,648.666666666667
45,22.5,27.445,0.0,646.0
46,22.5,27.5,0.0,646.0
47,22.5,27.445,0.0,641.5
48,22.39,27.29,0.0,639.0
49,22.5,27.5,0.0,640.0
50,22.39,27.34,0.0,630.5
51,22.39,27.3566666666667,0.0,629.333333333333
52,22.39,27.5,0.0,632.0
53,22.39,27.5,0.0,636.5
54,22.39,27.5,0.0,627.5
55,22.39,27.39,0.0,626.0
56,22.39,27.5,0.0,625.5
57,22.34,27.39,0.0,623.5
58,22.39,27.4633333333333,0.0,624.666666666667
59,22.39,27.39,0.0,622.0
60,22.29,27.39,0.0,621.0
61,22.34,27.39,0.0,626.5
62,22.29,27.39,0.0,622.0
63,22.39,27.39,0.0,620.0
64,22.29,27.39,0.0,621.5
65,22.29,27.3566666666667,0.0,616.333333333333
66,22.29,27.34,0.0,609.0
67,22.29,27.39,0.0,614.0
68,22.29,27.34,0.0,613.5
69,22.29,27.34,0.0,611.0
70,22.29,27.39,0.0,612.0
71,22.29,27.29,0.0,608.0
72,22.29,27.29,0.0,605.5
73,22.2675,27.315,0.0,608.5
74,22.2,27.29,0.0,608.5
75,22.245,27.29,0.0,602.5
76,22.2,27.29,0.0,598.0
77,22.2,27.29,0.0,595.0
78,22.2,27.29,0.0,591.0
79,22.245,27.245,0.0,591.0
80,22.2,27.2,0.0,595.0
81,22.2,27.29,0.0,594.333333333333
82,22.2,27.29,0.0,593.5
83,22.2,27.29,0.0,592.0
84,22.15,27.245,0.0,586.5
