,x-acc,y-acc,z-acc,x-mag,y-mag,z-mag
0,0.19483173,-0.7343257,1.7494289,0.83876145,1.399816,-1.8265859
1,0.19483173,-0.7343257,1.7494289,0.82752395,1.392,-1.8367988
2,0.036954507,-0.94239527,1.6522089,0.82752395,1.392,-1.8367988
3,0.005379075,-0.9840094,1.6327649,0.82274806,1.3891526,-1.8492002
4,0.005379075,-0.9840094,1.6327649,0.8171294,1.3858031,-1.8637903
5,-0.112281024,-0.8629627,1.7245405,0.8151628,1.3846307,-1.8688966
6,-0.27406365,-0.6965234,1.8507321,0.8151628,1.3846307,-1.8688966
7,-0.27406365,-0.6965234,1.8507321,0.8151628,1.3846307,-1.8688966
8,-0.27022856,-0.6834381,1.9255542,0.8151628,1.3846307,-1.8688966
9,-0.25488827,-0.63109654,2.2248418,0.8151628,1.3846307,-1.8688966
10,-0.25412124,-0.6284794,2.2398062,0.8053768,1.3822969,-1.8841431
11,-0.25412124,-0.6284794,2.2398062,0.79507583,1.3798405,-1.900192
12,-0.14788815,-0.7344315,2.170119,0.7945608,1.3797177,-1.9009944
13,-0.064419284,-0.8176796,2.1153646,0.79255635,1.3791202,-1.9095827
14,-0.064419284,-0.8176796,2.1153646,0.78810185,1.3777924,-1.928668
15,-0.20547844,-0.8923263,2.026078,0.78632003,1.3772613,-1.9363021
16,-0.55812633,-1.0789434,1.802861,0.78632003,1.3772613,-1.9363021
17,-0.5933911,-1.097605,1.7805392,0.78632003,1.3772613,-1.9363021
18,-0.5753876,-1.0324488,1.8464868,0.78632003,1.3772613,-1.9363021
19,-0.5033734,-0.77182335,2.110277,0.78632003,1.3772613,-1.9363021
20,-0.4637656,-0.6284794,2.2553616,0.78512377,1.3786875,-1.9446889
21,-0.4637656,-0.6284794,2.2553616,0.78246546,1.3818573,-1.9633263
22,-0.44771194,-0.5800171,2.2522504,0.7821996,1.3821741,-1.96519
23,-0.42477822,-0.5107849,2.247806,0.7821996,1.3821741,-1.96519
24,-0.42363155,-0.5073233,2.2475839,0.8064957,1.3757366,-1.9883226
25,-0.420415,-0.497318,2.2207196,0.8192832,1.3723483,-2.0004976
26,-0.35608473,-0.29721013,1.6834384,0.8192832,1.3723483,-2.0004976
27,-0.3239196,-0.19715618,1.4147978,0.8192832,1.3723483,-2.0004976
28,-0.28188145,-0.20391235,1.4525522,0.8192832,1.3723483,-2.0004976
29,-0.14175439,-0.22643274,1.5784004,0.8192832,1.3723483,-2.0004976
30,-0.0016272874,-0.24895322,1.7042484,0.8192832,1.3723483,-2.0004976
31,0.005379075,-0.2500793,1.7105409,0.8427694,1.3700147,-2.0614834
32,-0.4436498,-0.38086674,1.9186339,0.8440055,1.3698919,-2.0646932
33,-1.042355,-0.5552499,2.196091,0.8440055,1.3698919,-2.0646932
34,-1.3716428,-0.6511609,2.3486927,0.8728483,1.3662071,-2.0935812
35,-1.384372,-0.6154255,2.338764,0.901691,1.3625225,-2.1224692
36,-1.4268026,-0.4963084,2.3056676,0.901691,1.3625225,-2.1224692
37,-1.4692333,-0.37719125,2.2725716,0.901691,1.3625225,-2.1224692
38,-1.4464267,-0.382036,2.2841282,0.901691,1.3625225,-2.1224692
