,x-acc,y-acc,z-acc,x-gyro,y-gyro,z-gyro,x-mag,y-mag,z-mag
0,0.10926715,-0.2516571,0.5737553,-0.1296844,-1.8181183,-0.833337,1.8296161,0.35646006,-0.18186069
1,-0.17068534,-0.60950243,0.32738498,-0.1296844,-1.8181183,-0.833337,1.8296161,0.35646006,-0.18186069
2,0.21803355,-0.8870865,0.46927476,-0.1296844,-1.8181183,-0.833337,1.6931037,0.3434914,-0.17677216
3,1.288376,-0.9176077,1.2058034,-0.1296844,-1.8181183,-0.833337,1.6931037,0.3434914,-0.17677216
4,2.3277423,-0.28812957,1.8770055,0.061583623,-1.74051,-0.41633365,1.6931037,0.3434914,-0.17677216
5,2.8093107,0.2996891,1.647176,0.061583623,-1.74051,-0.41633365,1.4746838,0.33700708,-0.12588683
6,2.450709,-0.022229794,1.3759594,0.061583623,-1.74051,-0.41633365,1.4746838,0.33700708,-0.12588683
7,1.845472,-0.4510546,1.0488383,0.03519443,-0.75148344,-0.8417972,1.4746838,0.33700708,-0.12588683
8,1.1167997,-0.4899841,1.0054268,0.03519443,-0.75148344,-0.8417972,1.4364603,0.31755412,-0.12588683
9,0.1758222,-0.40748417,1.1687431,0.03519443,-0.75148344,-0.8417972,1.4364603,0.31755412,-0.12588683
10,-0.066990554,-0.37417847,0.84322727,-0.8306072,-1.0543808,-0.23348534,1.4364603,0.31755412,-0.12588683
11,0.20828046,0.04307126,0.43758863,-0.8306072,-1.0543808,-0.23348534,1.299948,0.42778766,-0.23783454
12,1.2454623,0.8404976,0.34622917,-0.8306072,-1.0543808,-0.23348534,1.299948,0.42778766,-0.23783454
13,0.8694615,1.0829742,-0.16675153,-0.8306072,-1.0543808,-0.23348534,1.299948,0.42778766,-0.23783454
14,-0.5224206,0.4124918,-0.8601479,-1.5010643,-0.9451838,1.2484047,1.1415936,0.7390353,-0.4464644
15,-1.9272547,-0.08714865,-0.5555002,-1.5010643,-0.9451838,1.2484047,1.1415936,0.7390353,-0.4464644
16,-2.402815,0.6980474,0.4574099,-1.5010643,-0.9451838,1.2484047,1.1415936,0.7390353,-0.4464644
17,-1.5257396,1.6296794,-0.11852435,-2.2661366,-1.4828306,-0.1838161,0.94501567,1.1734853,-0.7721305
18,-0.37526602,1.6632036,0.25612605,-2.2661366,-1.4828306,-0.1838161,0.94501567,1.1734853,-0.7721305
19,0.456711,0.6387522,0.22688265,-2.2661366,-1.4828306,-0.1838161,0.94501567,1.1734853,-0.7721305
20,0.97065943,-0.14840935,0.70015097,-1.8072219,-1.1680677,0.030143723,0.7320563,1.5884821,-1.0062029
21,1.8253416,0.013259908,0.60551125,-1.8072219,-1.1680677,0.030143723,0.7320563,1.5884821,-1.0062029
22,1.7994374,-0.1060401,0.41476622,-1.8072219,-1.1680677,0.030143723,0.7320563,1.5884821,-1.0062029
23,0.24237724,-0.62408054,0.65471554,-1.8072219,-1.1680677,0.030143723,0.62284636,2.0294163,-1.1130621
24,0.74587035,-0.9584482,0.57131255,-0.97199315,0.035183918,0.39775068,0.62284636,2.0294163,-1.1130621
25,1.0055364,-0.84537256,0.39766684,-0.97199315,0.035183918,0.39775068,0.62284636,2.0294163,-1.1130621
26,-0.30800873,-0.56385726,1.1140252,-0.97199315,0.035183918,0.39775068,0.6665303,2.2887895,-1.245364
27,-0.58983386,-0.65170795,0.47785935,-0.008465744,0.8794162,0.331707,0.6665303,2.2887895,-1.245364
28,-0.63813114,-0.8720717,-0.34800467,-0.008465744,0.8794162,0.331707,0.6665303,2.2887895,-1.245364
29,-1.0749131,-1.2892122,-0.05124364,-0.008465744,0.8794162,0.331707,0.78120077,2.3730857,-1.2962493
30,-1.0881773,-1.4173027,0.19554546,0.2873936,0.112632014,-0.63302255,0.78120077,2.3730857,-1.2962493
31,-0.56814295,-1.4419271,0.36863285,0.2873936,0.112632014,-0.63302255,0.78120077,2.3730857,-1.2962493
32,-0.16085422,-1.4766525,0.72067016,0.2873936,0.112632014,-0.63302255,0.80304277,2.2952738,-1.2555411
33,0.18346861,-1.1405376,0.50500894,0.39005402,0.35347474,-0.8849166,0.80304277,2.2952738,-1.2555411
34,0.7811375,-0.8784053,0.8391094,0.39005402,0.35347474,-0.8849166,0.80304277,2.2952738,-1.2555411
35,0.80774397,-0.6208592,1.273782,0.39005402,0.35347474,-0.8849166,0.8521872,2.1980088,-1.2911608
36,0.7975227,-0.0580471,1.5710317,0.39005402,0.35347474,-0.8849166,0.8521872,2.1980088,-1.2911608
37,0.311195,0.5255674,0.9497318,0.23086065,1.1561769,-0.1668958,0.8521872,2.1980088,-1.2911608
38,-0.020799957,0.7511181,0.8514629,0.23086065,1.1561769,-0.1668958,0.9668577,2.204493,-1.245364
39,-0.36949217,0.5762904,1.2345582,0.23086065,1.1561769,-0.1668958,0.9668577,2.204493,-1.245364
40,-0.93665344,0.35357887,1.7165506,-0.26216674,0.250852,0.782278,0.9668577,2.204493,-1.245364
41,-1.7539618,0.39016056,2.363325,-0.26216674,0.250852,0.782278,1.0050812,2.2433991,-1.2300984
42,-1.5308893,0.6920415,1.544231,-0.26216674,0.250852,0.782278,1.0050812,2.2433991,-1.2300984
43,-1.043001,0.9682605,0.95147663,0.18838048,-0.35638592,-0.8824605,1.0050812,2.2433991,-1.2300984
44,-1.435231,0.99829036,0.38405713,0.18838048,-0.35638592,-0.8824605,0.94501567,2.2563677,-1.1843016
45,-1.5069357,0.98425823,0.6985457,0.18838048,-0.35638592,-0.8824605,0.94501567,2.2563677,-1.1843016
46,-0.9692678,0.8788265,0.14550367,0.18838048,-0.35638592,-0.8824605,0.94501567,2.2563677,-1.1843016
47,-0.49277115,-0.30636582,-0.6405782,0.23429339,-1.886587,-0.22420646,0.8521872,2.2369149,-1.1435933
48,0.2520523,-1.146762,-1.1861523,0.23429339,-1.886587,-0.22420646,0.8521872,2.2369149,-1.1435933
49,1.3961279,-1.00251,-1.6737981,0.23429339,-1.886587,-0.22420646,0.8521872,2.2369149,-1.1435933
50,1.7046374,-0.4526926,-1.4838905,0.5967694,-0.053969573,-1.1545497,0.77574027,2.0942595,-1.0316457
51,1.032299,0.43149242,-0.9063511,0.5967694,-0.053969573,-1.1545497,0.77574027,2.0942595,-1.0316457
52,0.5435524,0.9487139,-0.44759974,0.5967694,-0.053969573,-1.1545497,0.77574027,2.0942595,-1.0316457
53,-0.22522457,0.13654567,-0.6420438,1.0568639,-0.79894644,1.13815,0.6883723,1.9062141,-0.8993438
54,-0.23942506,-0.5126429,-0.5310027,1.0568639,-0.79894644,1.13815,0.6883723,1.9062141,-0.8993438
55,-0.42293912,-0.53186196,-0.5460082,1.0568639,-0.79894644,1.13815,0.6883723,1.9062141,-0.8993438
56,-0.35349712,-0.36271256,-0.7895869,1.0568639,-0.79894644,1.13815,0.5518599,1.724653,-0.72124517
57,-0.37674844,-0.21998934,-0.7389868,0.97243994,-1.3856598,-0.40487152,0.5518599,1.724653,-0.72124517
58,-0.051853772,-0.23282024,-0.42687112,0.97243994,-1.3856598,-0.40487152,0.5518599,1.724653,-0.72124517
59,0.49619147,-0.4064468,-0.04189133,0.97243994,-1.3856598,-0.40487152,0.45357093,1.4587955,-0.538058
60,0.9066793,-0.5894099,0.19219539,1.0468875,-0.97917765,-0.53231955,0.45357093,1.4587955,-0.538058
61,0.9085518,-0.5018868,0.531321,1.0468875,-0.97917765,-0.53231955,0.45357093,1.4587955,-0.538058
62,0.9857962,-0.24472295,0.58401495,1.0468875,-0.97917765,-0.53231955,0.38258448,1.2123911,-0.34469372
63,0.7342447,-0.48823693,0.25466037,0.81024295,-0.19234991,-0.7607435,0.38258448,1.2123911,-0.34469372
64,0.6133845,-0.7473118,0.2428653,0.81024295,-0.19234991,-0.7607435,0.38258448,1.2123911,-0.34469372
65,0.65208477,-0.4386605,0.3763799,0.81024295,-0.19234991,-0.7607435,0.37166348,0.9984084,-0.19203776
66,0.6672995,-0.36506036,-0.0025279098,0.7522082,-0.33505964,-1.153458,0.37166348,0.9984084,-0.19203776
67,-0.0825955,-0.25302207,-0.100308314,0.7522082,-0.33505964,-1.153458,0.37166348,0.9984084,-0.19203776
68,-0.0069895955,0.12786436,-0.1586555,0.7522082,-0.33505964,-1.153458,0.43172896,0.9465338,-0.024116179
69,0.12760296,0.27468252,-0.15090844,0.7522082,-0.33505964,-1.153458,0.43172896,0.9465338,-0.024116179
70,0.39686608,0.796272,0.36437544,0.42706326,-0.9766121,-0.75719565,0.43172896,0.9465338,-0.024116179
71,0.9756531,0.7289507,0.3869187,0.42706326,-0.9766121,-0.75719565,0.5300179,0.85575324,0.10309713
72,1.374125,0.40468404,0.24593621,0.42706326,-0.9766121,-0.75719565,0.5300179,0.85575324,0.10309713
73,1.4013556,0.20228352,0.8371552,0.036910802,-1.0394684,-0.08638797,0.5300179,0.85575324,0.10309713
74,1.9878669,0.17607574,1.1268672,0.036910802,-1.0394684,-0.08638797,0.47541294,0.74551964,0.17942512
75,2.1042798,0.20828949,1.5768943,0.036910802,-1.0394684,-0.08638797,0.47541294,0.74551964,0.17942512
76,1.8706739,0.628433,1.2568921,-1.0759408,-0.53068423,-0.18927427,0.47541294,0.74551964,0.17942512
77,1.6627382,0.8247183,0.3053303,-1.0759408,-0.53068423,-0.18927427,0.39350548,0.8298159,0.07256594
78,1.2896242,0.30514908,-0.22530809,-1.0759408,-0.53068423,-0.18927427,0.39350548,0.8298159,0.07256594
79,0.7475869,0.0036503884,-0.5248609,-1.0759408,-0.53068423,-0.18927427,0.39350548,0.8298159,0.07256594
80,0.3545767,0.32911828,-0.28833145,-2.4572973,0.76156044,0.9536642,0.41534746,1.1670009,-0.21239188
81,-0.42020822,0.6179498,-0.75252664,-2.4572973,0.76156044,0.9536642,0.41534746,1.1670009,-0.21239188
82,-1.2407936,0.9596338,-0.52318585,-2.4572973,0.76156044,0.9536642,0.41534746,1.1670009,-0.21239188
83,-1.492189,1.4610215,-0.1732423,-1.8843514,-0.5524916,3.049324,0.39350548,1.6598097,-0.4973497
84,-1.1529378,1.1736095,-0.019627275,-1.8843514,-0.5524916,3.049324,0.39350548,1.6598097,-0.4973497
85,-0.2853816,0.51841486,0.476952,-1.8843514,-0.5524916,3.049324,0.39350548,1.6598097,-0.4973497
86,0.59887195,-0.011965086,0.35865238,-1.4848663,1.1892086,0.067532115,0.39350548,2.1201968,-0.7466878
87,1.0572668,-0.4064468,-0.051522776,-1.4848663,1.1892086,0.067532115,0.39350548,2.1201968,-0.7466878
88,0.9107365,-0.6071001,-0.29572952,-1.4848663,1.1892086,0.067532115,0.39350548,2.1201968,-0.7466878
89,0.68493307,-0.722196,-0.33062616,-1.1047616,1.7083086,1.134966,0.5300179,2.4703505,-0.9604062
90,0.1553017,-0.7127502,-0.42980242,-0.9147093,1.9678586,1.668683,0.5300179,2.4703505,-0.9604062
91,-0.3718329,-0.8193285,-0.38255236,-0.9147093,1.9678586,1.668683,0.5300179,2.4703505,-0.9604062
92,-0.9010742,-1.0140305,-0.2525275,-0.9147093,1.9678586,1.668683,0.77027977,2.7037864,-1.1130621
93,-1.084354,-0.91050977,-0.6115442,0.3941304,2.1450431,1.6083703,0.77027977,2.7037864,-1.1130621
94,-0.90099615,-1.0700496,-0.523465,0.3941304,2.1450431,1.6083703,0.77027977,2.7037864,-1.1130621
95,-0.7416699,-1.445476,-0.777373,0.3941304,2.1450431,1.6083703,1.0815281,2.5676155,-1.1385049
96,-0.9593586,-1.5329992,-0.5306537,0.90346336,1.3728071,-0.6979747,1.0815281,2.5676155,-1.1385049
97,-0.81797785,-1.3714937,-0.2904252,0.90346336,1.3728071,-0.6979747,1.0815281,2.5676155,-1.1385049
98,-0.45555338,-0.951514,0.09902133,0.90346336,1.3728071,-0.6979747,1.310869,2.3471484,-1.0774424
99,0.015013363,-0.4392611,0.46599445,0.6113585,0.9042701,-0.73781925,1.310869,2.3471484,-1.0774424
100,0.345994,0.3489925,0.56893957,0.6113585,0.9042701,-0.73781925,1.310869,2.3471484,-1.0774424
101,0.56391686,0.7881912,1.1817944,0.6113585,0.9042701,-0.73781925,1.5511308,2.1850402,-1.0214685
102,0.24463996,0.961927,0.96983224,0.6113585,0.9042701,-0.73781925,1.5511308,2.1850402,-1.0214685
103,0.023205953,0.8093758,1.0604937,-0.3661144,1.422996,0.21653984,1.5511308,2.1850402,-1.0214685
104,-0.20634261,0.70088655,1.9068769,-0.3661144,1.422996,0.21653984,1.7695507,2.178556,-1.0062029
105,-0.4023406,0.39987928,2.242862,-0.3661144,1.422996,0.21653984,1.7695507,2.178556,-1.0062029
106,-0.58343583,0.1455546,1.9547551,0.025539845,0.88759404,1.1485204,1.7695507,2.178556,-1.0062029
107,-0.2420779,0.77672535,1.0875735,0.025539845,0.88759404,1.1485204,1.9169841,2.2109776,-0.98584884
108,-0.78918684,1.5174775,-0.6650058,0.025539845,0.88759404,1.1485204,1.9169841,2.2109776,-0.98584884
